Product ID,Retailer,Product Name,StoreBrand,Anzahl,Label 1,No,Label 2,No,Label 3,No,Label 4,No,Label 5,No,Label 6,No,Label 7,No,Label 8,No,Label 9,No
__Lidl005_000051,Lidl,Grandino Kokos,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__Lidl005_000052,Lidl,Cranberry White Cookies,Yes,1,Fairtrade,,,,,,,,,,,,,,,,,
__REWE005_000053,Penny,Classic Cookies,COVO,3,UTZ Certified Kakao,,pro Planet (beziehet sich auf cakao und Pflanzenölanbau),4011002,,,,,,,,,,,,,,
__REWE005_000054,Penny,Kakaocreme Schnitten,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000055,Penny,Schoko Butterkeks Vollmilch,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000056,Penny,Gebäck Mischung ,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000057,Penny,Waffel Mischung ,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000058,Penny,Doppel Keks,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000059,Penny,Mini Doppel Keks Haselnuss,Yes,0,,,,,,,,,,,,,,,,,,
__Spar005_000060,Spar,Feine Bäckerei florentiner,De Beukelaer,2,FSC,C100130,,,,,,,,,,,,,,,,
__Spar005_000061,Spar,Vollmilch Ohne Gleichen,Bahlsen,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__Spar005_000062,Spar,Loacker Gran Pasticceria,Loacker,0,,,,,,,,,,,,,,,,,,
__Spar005_000063,Spar,Air Japonais,Swiss Delice,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__Spar005_000064,Spar,Choco Pause,Milka,0,,,,,,,,,,,,,,,,,,
__Spar005_000065,Spar,Pure Butter Shortbread,?,0,,,,,,,,,,,,,,,,,,
__Spar005_000066,Spar,Chocolate Chip Cookies,Spar,0,,,,,,,,,,,,,,,,,,
__Spar005_000067,Spar,Choco Cookie Nut,?,0,,,,,,,,,,,,,,,,,,
__Spar005_000068,Spar,Grain Biscuits,Spar,0,,,,,,,,,,,,,,,,,,
__Spar005_000069,Spar,Tortina White,?,0,,,,,,,,,,,,,,,,,,
__Spar005_000070,Spar,Cereola Hafer-Cookie,?,5,Bio,,Ovo- Vegerarish,,RSPO,RSPO-1106174,DLG,,,,,,,,,,,
__Spar005_000071,Spar,Blaschke Kokoskuppel,?,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000072,BILLA,Getreidekeks Banane,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000073,BILLA,Doppelkekse,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000074,BILLA,Haselnuss-Röllchen,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000075,BILLA,Kakaoschnitten,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000076,BILLA,Soft-cake Orange,Yes,0,,,,,,,,,,,,,,,,,,
__REWE005_000077,BILLA,Butterstollen,Yes,0,,,,,,,,,,,,,,,,,,
__REWE005_000078,BILLA,Heumilch-Mignon-Schnitten,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000079,BILLA,Dinkel-Vollkornkeks,Yes,0,,,,,,,,,,,,,,,,,,
__REWE005_000080,BILLA,Schoko Butterkeks,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000081,BILLA,Gebäckmischung,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000082,BILLA,Chocolate Chip Cookies,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000083,BILLA,Mürbteig-Kekse,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000084,BILLA,Mignon Schnitten,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__REWE005_000085,BILLA,Gewürz-Spekulatius,Yes,0,,,,,,,,,,,,,,,,,,
__REWE005_000086,BILLA,Belgische Butterwaffeln,Yes,1,Agrovet zertifierte Qualität Freilandhaltung,,,,,,,,,,,,,,,,,
__REWE005_000087,BILLA,Soft Brownie-Cookies,Yes,3,UTZ Certified Kakao,,Pro Planet,401103,,,,,,,,,,,,,,
__REWE005_000088,BILLA,Cranberry-Cookies,Yes,0,,,,,,,,,,,,,,,,,,
__REWE005_000089,Billa,Getreidekeks Erdbeere,Yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000090,Lidl,Grandino-Chocolate Chip Cookies,Yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000091,Lidl,Butter Cookies,Yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000092,Lidl,Grandino-Chocolate Chip Cookies,Yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000093,Lidl,Butter Spritzgebäck,Yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000094,Lidl,Dominosteine Zartbitter,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__Lidl005_000095,Lidl,Dorolia Kokos,Yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000096,Lidl,Dorolio Mandel,Yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000097,Lidl,Firone Waffelmischung,Yes,1,DLG - Zertifizierungsprogamm für nachhaltige Landwirtschaft,,,,,,,,,,,,,,,,,
