Product ID,Retailer,Product Name,StoreBrand,Ingredient 1,%,origin,Ingredient 2,%,origin,Ingredient 3,%,origin,Ingredient 4,%,origin,Ingredient 5,%,origin,Ingredient 6,%,origin,Ingredient 7,%,origin,Ingredient 8,%,origin,Ingredient 9,%,origin,Ingredient 10,%,origin,Ingredient 11,%,origin,Ingredient 12,%,origin,Ingredient 13,%,origin,Ingredient 14,%,origin,Ingredient 15,%,origin,Ingredient 16,%,origin,Ingredient 17,%,origin,Ingredient 18,%,origin,Ingredient 19,%,origin,Ingredient 20,%,origin,Ingredient 21,%,origin,Ingredient 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000012,Hofer,Granada,,Weizenmehl,"0,42",,Zucker,,,Palmöl,,,Weizenvollkornmehl,"0,062",,Kakaobutter,,,Kakaomasse,,,Magermilchpulver,,,Molkenpulver,,,Butterreinfett,,,Natriumcarbonate,,,Diphosphate,,,Speisesalz,,,Lecithine,,,Milchzucker,,,Stärke (Weizen),,,Aromen,,,Hühnervolleipulver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000013,Hofer,Kaffeegebäck Spezialitäten,,Weizenmehl,,,Kokosraspel,"0,26",,Zucker,,,Palmöl,,,Hühnervollei,,,Speisesalz,,,nat. Aroma,,,gemahlene Mandeln,,,gemahlene Haselnüsse,,,Molkenpulver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__1005_000014,Merkur,Haselnusscookies,,Palmöl,ja,,Zucker,,,Haselnüsse,,,Magermilchpulver,,,Kakaopulver,,,Weizenmehl,,,Hafermehl,,,"pflanzl Öl (Sonnenblume, Palmöl",,,Eipulver,,,Lecithine,,,Natriumcarbonat,,,Dinatriumdiphosphat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__1005_000015,Merkur,Butterwaffeln,yes,Palmöl,0,,Weizenmehl,,,Zucker,,,Butter,,,Vollei,,,Weizenstärke,,,Salz,,,Ammoniumhydrogencarbonat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__1005_000016,Merkur,Cookie Chips,,Palmöl,ja,,Zucker,,,Weizenmehl,,,Hühnervollei,,,Kakaopulver,,,Weizen,,,Salz,,,Kakaomasse,,,Ammoniumcarbonat,,,Molkeerzeugnisse,,,Kakaopulver,,,Lecithine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__1005_000017,Merkur,Applepie Cookies,,Palmöl,ja,,getrocknete Äpfel,,,Apfelsaftkonzentrat,,,Glycerin,,,Weizenmehl,,,Zucker,,,Dextrose,,,Rosinen,,,mod Stärke,,,Hafermehl,,,Natriumcarbonat,,,Pektin,,,Zimt,,,"pflanzl Öle (Sonnenblume, Palm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__1005_000018,Merkur,Getreidekekse,,Palmöl,ja,,Weizenmehl,,,Zucker,,,Haferflocken,,,Weizenstärke,,,Reismehl,,,Haselnüsse,,,Vollmilchpulver,,,Magermilchpulver,,,Süssmolkepulver,,,Weizengluten,,,Lecithine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__1005_000019,Merkur,Kakaokeks,yes,Palmöl,nein,,Zucker,,,Weizenmehl,,,Kakaopulver,,,Vollmilchpulver,,,Butter,,,Glucosesirup,,,Molkeerzeugnis,,,Butterreinfett,,,Lecithine,,,Hühnereigelbpulver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__1005_000020,Merkur,Waffeletten,no,Palmöl,ja,,Weizenmehl,,,Zucker,,,Kakaomasse,,,Kakaobutter,,,Magermilchpulver,,,Molkeerzeugnisse,,,Hühnereigelbpulver,,,Lecithine,,,Vollmilchpulver,,,Natriumcarbonat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000021,Lidl,Firone Gebäckmischung,Yes,Weizenmehl,,,Zucker,,,Palmöl,,,Kakaomasse,,,Glukose-Fruktose-Sirup,,,Kakaobutter,,,fettarmes Kakaopulver,,,Molkenerzeugnis,,,Speisesalz,,,Ammoniumcarbonate,,,Diphosphate,,,Natriumcarbonate,,,Glukosesirup,,,natürliches Aroma,,,natürliches Butter-Aroma,,,natürliches Vanille-Aroma,,,Orangenöl,,,Lecithine (Enthält Soja),,,Citronensäure,,,Zitronenschalen,,,Johannisbeersaftkonzentrat,,,Magermilchpulver,,,Milcheiweiß,,,Pektine,,,Sauerkirschsaftkonzentrat,,,Holunderbeersaftkonzentrat,,,Laktose,,,Weizenstärke,,,Natriumcarbonate,,,Hühnervolleipulver (Eier aus Bodenhaltung),,,,,,,,,,,,,,,
