Product ID,Date of entry,Name or acronym of Researcher entering the data,"Retailer",Supermarket,"Product category",Frozen (yes/no),Product type,Complete product Name,Store brand (Yes / No),Brand,Name of Production Company (if stated),Country of production (if stated),Name of distribution Company (if stated),Address of distribution Company (if stated),Product Weight,g /l,Prize in Euro,Barcode Number (number below barcode),Organic? (Yes/No),Energy,kj / kcal,protein,carbohydrates,Sugar,Fett,saturated fat,Salt,Green claim? (Yes / No),Description,Number Ingreadeants,Number Labels,Number pakaging material
__Lidl005_000030,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Cuoricini,Yes,Sondey,,,BIANCOFORNO SPA,"Via Mazzei 1, I-56012 Fornacette (Pl)",,,,,,,,,,,,,,,,10,0,0
__Lidl005_000031,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,BIO Dinkel-Honig-Tiere,Yes,Sondey,,,George Parlasca Keksfabrik GmbH,D-31303 Burgdorf,,,,,,,,,,,,,,,,11,1,0
__Lidl005_000032,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,BIO Dinkel Marmor,Yes,Sondey,,,George Parlasca Keksfabrik GmbH,D-31303 Burgdorf,,,,,,,,,,,,,,,,11,1,0
__Lidl005_000033,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,BIO Dinkel-Hafer-Kränze,Yes,Sondey,,,George Parlasca Keksfabrik GmbH,D-31303 Burgdorf,,,,,,,,,,,,,,,,5,1,0
__Lidl005_000034,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Grandino Soft Baked Triple Choc,Yes,Sondey,,,Banketbakkerij Merba. B.V.,Wilhelminakanaal Noord 2 NL-4902 VR Oosterhout,,,,,,,,,,,,,,,,22,1,0
__Lidl005_000035,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Mandel Spekulatius,Yes,Favorina,,,D. Borggreve KG,"Hermann-Borggreve-Str. 1-3, D-49828 Neuenhaus",,,,,,,,,,,,,,,,9,0,0
__Lidl005_000036,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Grandino White Choc & Cranberry Cookies,Yes,Sondey,,,Banketbakkerij Merba. B.V.,Wilhelminakanaal Noord 2 NL-4902 VR Oosterhout,,,,,,,,,,,,,,,,21,1,0
__Lidl005_000037,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Grandino Triple Chocolate Cookies,Yes,Sondey,,,Banketbakkerij Merba. B.V.,Wilhelminakanaal Noord 2 NL-4902 VR Oosterhout,,,,,,,,,,,,,,,,22,1,0
__Lidl005_000038,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,NEO Kakaokekse mit Kakaocremefüllung 5x5,Yes,Sondey,,,Flämische Keksfabrik ,"Arnoldstraße 62, D- 47906 Kempen",,,,,,,,,,,,,,,,15,1,0
__Lidl005_000039,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,NEO Kakaokekse mit Vanillecremefüllung 5x5,Yes,Sondey,,,Flämische Keksfabrik ,"Arnoldstraße 62, D- 47906 Kempen",,,,,,,,,,,,,,,,16,1,0
__Lidl005_000040,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Butterkeks Vollkorn,Yes,Sondey,,,Flämische Keksfabrik ,"Arnoldstraße 62, D- 47906 Kempen",,,,,,,,,,,,,,,,9,0,0
__Lidl005_000041,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Butterkeks der Klassiker,Yes,Sondey,,,Flämische Keksfabrik ,"Arnoldstraße 62, D- 47906 Kempen",,,,,,,,,,,,,,,,9,0,0
__Lidl005_000042,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Jaffa Cake Pflaume Winter Edition,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdinger",,,,,,,,,,,,,,,,20,1,0
__Lidl005_000043,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Jaffa Cake Kirsch,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdinger",,,,,,,,,,,,,,,,21,2,0
__Lidl005_000044,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Jaffa Cake Orange,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdinger",,,,,,,,,,,,,,,,20,1,0
__Lidl005_000045,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Rondissimo Zartbitter,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdinger",,,,,,,,,,,,,,,,14,1,0
__Lidl005_000046,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Rondissimo Vollmilch,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdinger",,,,,,,,,,,,,,,,17,2,0
__Lidl005_000047,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Captain Rondo Kakao,Yes,Sondey,,,Flämische Keksfabrik,"Arnoldstraße 62, D-47906 Kempen",,,,,,,,,,,,,,,,13,1,0
__Lidl005_000048,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Captain Rondo Minis 6x5 Stück Vanille,Yes,Sondey,,,Flämische Keksfabrik,"Arnoldstraße 62, D-47906 Kempen",,,,,,,,,,,,,,,,14,0,0
__Lidl005_000049,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Captain Rondo Minis 6x5 Stück Vanille,Yes,Sondey,,,Flämische Keksfabrik,"Arnoldstraße 62, D-47906 Kempen",,,,,,,,,,,,,,,,15,0,0
__Lidl005_000050,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Grandino Vollmilch,Yes,Sondey,,,Inter Bisciuts GmbH,"Postfach D-1144, D-29634 Schneverdingen",,,,,,,,,,,,,,,,15,1,0
__Lidl005_000051,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Grandino Kokos,Yes,Sondey,,,Inter Bisciuts GmbH,"Postfach D-1144, D-29634 Schneverdingen",,,,,,,,,,,,,,,,18,1,0
__Lidl005_000052,31.10.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Cranberry White Cookies,Yes,Fairglobe,,,Flämische Keksfabrik GmbH,"Arnoldstr. 62, D-47906 Kempen",,,,,,,,,,,,,,,,19,1,0
__REWE005_000053,31.10.2016,Bannholzer,REWE,Penny,Snacks and Sweets,No,Cookies,Classic Cookies,No,COVO,HG GmbH ,Germany,HG GmbH,Im Camisch 1 D-07768 Kahla,225g,,,,,,,,,,,,,Yes,Pro Plante 4011 002,18,2,1
__REWE005_000054,31.10.2016,Bannholzer,REWE,Penny,Snacks and Sweets,No,Cookies,Kakaocreme Schnitten,Yes,PENNY,,Austria,Billa AG/Abteilung Penny,"Postfach 0115P, A-2355 Wr. Neudorf",,,,,,,,,,,,,,No,,9,1,1
__REWE005_000055,31.10.2016,Bannholzer,REWE,Penny,Snacks and Sweets,No,Cookies,Schoko Butterkeks Vollmilch,Yes,PENNY,,Germany,Billa AG/Abteilung Penny,"Postfach 0115P, A-2355 Wr. Neudorf",125 g mal 2,,,,,,,,,,,,,No,,19,1,1
__REWE005_000056,31.10.2016,Bannholzer,REWE,Penny,Snacks and Sweets,No,Cookies,Gebäck Mischung ,Yes,PENNY,Continental Bakeries Deutschland GmbH,Germany,Billa AG/Abteilung Penny,"Postfach 0115P, A-2355 Wr. Neudorf",,,,,No,,,,,,,,,No,,15,1,1
__REWE005_000057,31.10.2016,Bannholzer,REWE,Penny,Snacks and Sweets,No,Cookies,Waffel Mischung ,Yes,PENNY,Continental Bakeries Deutschland GmbH,Germany,Billa AG/Abteilung Penny,"Postfach 0115P, A-2355 Wr. Neudorf",400 g,,,,No,,,,,,,,,No,,4,1,1
